address,g_lat,g_lon
"LINDSTROM, MN, USA",45.3894083,-92.8479921
"MOKENA, IL, USA",41.5261437,-87.8892189
"CHICAGO, IL, USA",41.8781136,-87.6297982
"CHICAGO, IL, USA",41.8781136,-87.6297982
"KANKAKEE, IL, USA",41.1200325,-87.8611531
"LINCOLN, NE, USA",40.813616,-96.7025955
"HEMET, CA, USA",33.7475203,-116.9719684
"FRESNO, CA, USA",36.7377981,-119.7871247
"ORANGE, CA, USA",33.7879139,-117.8531007
"SANTA ANA, CA, USA",33.7454725,-117.867653
"REDONDO BEACH, CA, USA",33.8491816,-118.3884078
"LIVERMORE, CA, USA",37.6818745,-121.7680088
"CASTRO VALLEY, CA, USA",37.6940973,-122.0863522
"SOUTH BEND, IN, USA",41.6763545,-86.2519898
"GOSHEN, IN, USA",41.5822716,-85.8344383
"BRAZIL, IN, USA",39.523652,-87.1250154
"LOS ALAMITOS, CA, USA",33.8032009,-118.0718894
"SAN BERNANDINO, CA, USA",34.1083449,-117.2897652
"MARYSVILLE, CA, USA",39.1457253,-121.5913547
"MANTECA, CA, USA",37.7974273,-121.2160526
"SPRINGDALE, AR, USA",36.1867442,-94.1288141
"SILOAM SPRINGS, AR, USA",36.1881365,-94.5404962
"LITTLE ROCK, AR, USA",34.7464809,-92.2895948
"HIGHLAND, IN, USA",41.5536468,-87.451984
"LOS ANGELES, CA, USA",34.0522342,-118.2436849
"SAN DIEGO, CA, USA",32.715738,-117.1610838
"PALO ALTO/MOUNTAINVIEW, CA, USA",37.3860517,-122.0838511
"MONTEREY, CA, USA",36.6002378,-121.8946761
"SANTA CRUZ, CA, USA",36.9741171,-122.0307963
"PALMDALE, CA, USA",34.5794343,-118.1164613
"SANTA CLARITA, CA, USA",34.3916641,-118.542586
"OBERLIN, LA, USA",30.6201984,-92.7626462
"NEW ORLEANS, LA, USA",29.9510658,-90.0715323
"BATON ROUGE, LA, USA",30.4514677,-91.1871466
"CEDAR RAPIDS, IA, USA",41.9778795,-91.6656232
"OAKLAND, CA, USA",37.8043637,-122.2711137
"OAKLAND, CA, USA",37.8043637,-122.2711137
"OAKLAND, CA, USA",37.8043637,-122.2711137
"BERKELEY, CA, USA",37.8715926,-122.272747
"CAMARILLO, CA, USA",34.2163937,-119.0376023
"SAN JOSE, CA, USA",37.3382082,-121.8863286
"FORT DODGE, IA, USA",42.4974694,-94.1680158
"NEVADA, IA, USA",42.0227184,-93.4523014
"BURLINGTON, IA, USA",40.8076529,-91.1128901
"ST. PAUL, MN, USA",44.9537029,-93.0899578
"NEW BRIGHTON, MN, USA",45.0655212,-93.2018908
"FORT SNELLING, MN, USA",44.8755939,-93.2131232
"BENECIA, CA, USA",38.049365,-122.1585777
"NAPA, CA, USA",38.2975381,-122.286865
"SANTA ROSA, CA, USA",38.440429,-122.7140548
"ARROYO GRANDE, CA, USA",35.1185868,-120.5907252
"SANTA BARBARA, CA, USA",34.4208305,-119.6981901
"SAN LUIS OBIPSO, CA, USA",35.2827524,-120.6596156
"GRAND ISLAND, NE, USA",40.9263957,-98.3420118
"OMAHA, NE, USA",41.2565369,-95.9345034
"SAN FERNANDO VALLEY, CA, USA",34.1825782,-118.4396756
"VALLEY VILLAGE, CA, USA",34.1633045,-118.3841777
"SACRAMENTO, CA, USA",38.5815719,-121.4943996
"SACRAMENTO, CA, USA",38.5815719,-121.4943996
"WOODSTOCK, IL, USA",42.3147436,-88.4487021
"PLAINFIELD, IL, USA",41.632223,-88.2120315
"JOHNSON CITY, TN, USA",36.3134397,-82.3534727
"NASHVILLE, TN, USA",36.1626638,-86.7816016
"CONCORD, CA, USA",37.9779776,-122.0310733
"MCMINNVILLE, OR, USA",45.2101162,-123.1987163
"PORTLAND, OR, USA",45.5154586,-122.6793461
"PORTLAND, OR, USA",45.5154586,-122.6793461
"SALEM, OR, USA",44.9428975,-123.0350963
"YACHATS, OR, USA",44.3112312,-124.1048418
"AUGUSTA, ME, USA",44.3106241,-69.7794897
"WESTBROOK, ME, USA",43.6770252,-70.3711617
"PRESQUE ISLE, ME, USA",46.681153,-68.0158614
"BAR HARBOR, ME, USA",44.3876119,-68.2039123
"LEWISTON, ME, USA",44.100351,-70.2147764
"ORONO, ME, USA",44.8831125,-68.6719411
"SKOWHEGEN, ME, USA",44.7650366,-69.7193803
"SAVANNAH, TN, USA",35.2248034,-88.2492037
"KNOXVILLE, TN, USA",35.9606384,-83.9207392
"MARYVILLE, TN, USA",35.7564719,-83.9704593
"BLOOMINGTON, IL, USA",40.4842027,-88.9936873
"EDWARDSVILLE, IL, USA",38.8114364,-89.953157
"TEMECULA, CA, USA",33.4936391,-117.1483648
"BAKERSFIELD, CA, USA",35.3732921,-119.0187125
"ADELANTO, CA, USA",34.5827699,-117.409215
"GALENA, IL, USA",42.4166744,-90.4290168
"ROCKFORD, IL, USA",42.2711311,-89.0939952
"GLEN ELLYN, IL, USA",41.8775293,-88.0670118
"CRYSTAL LAKE, IL, USA",42.2411344,-88.3161965
"WAUKEGAN, IL, USA",42.3636331,-87.8447938
"MADISON, GA, USA",33.5956813,-83.467944
"ATHENS, GA, USA",33.9519347,-83.357567
"REDDING, CA, USA",40.5865396,-122.3916754
"LAWRENCEVILLE, GA, USA",33.9562149,-83.9879625
"ALPHARETTA, GA, USA",34.0753762,-84.2940899
"CHAMBLEE, GA, USA",33.8920468,-84.2988126
"PARIS, KY, USA",38.2097987,-84.2529869
"LEXINGTON, KY, USA",38.0405837,-84.5037164
"COVINGTON, LA, USA",30.4754702,-90.1009108
"INDIANAPOLIS, IN, USA",39.768403,-86.158068
"NAPERVILLE, IL, USA",41.7508391,-88.1535352
"AURORA, IL, USA",41.7605849,-88.3200715
"ARLINGTON HEIGHTS, IL, USA",42.0883603,-87.9806265
"ARLINGTON HEIGHTS, IL, USA",42.0883603,-87.9806265
"BRIDGEPORT, IL, USA",38.7058806,-87.7600285
"SAN FRANCISCO, CA, USA",37.7749295,-122.4194155
"SAN FRANCISCO, CA, USA",37.7749295,-122.4194155
"DES MOINES, IA, USA",41.5868353,-93.6249593
"HOLLY SPRINGS, GA, USA",34.1739857,-84.5013187
"TRUCKEE, CA, USA",39.327962,-120.1832533
"BOISE, ID, USA",43.6150186,-116.2023137
"SAN GABRIEL, CA, USA",34.0961111,-118.1058333
"PACIFICA, CA, USA",37.6138253,-122.4869194
"REDWOOD CITY, CA, USA",37.4852152,-122.2363548
"HALF MOON BAY, CA, USA",37.4635519,-122.4285862
"EUGENE, OR, USA",44.0520691,-123.0867536
"COOS BAY, OR, USA",43.3665007,-124.2178903
"ASHLAND, OR, USA",42.1945758,-122.7094767
"FLORENCE, KY, USA",38.9989499,-84.6266111
"ULLIN, IL, USA",37.2769948,-89.1834113
"NOVATO, CA, USA",38.1074198,-122.5697032
"UKIAH, CA, USA",39.1501709,-123.2077831
"MONTEBELLO, CA, USA",34.0165053,-118.1137535
"HUNTSVILLE, AL, USA",34.7303688,-86.5861037
"GADSDEN, AL, USA",34.014264,-86.0066386
"TUSCALOOSA, AL, USA",33.2098407,-87.5691735
"ST. PETERSBURG, FL, USA",27.7676008,-82.6402915
"HOMESTEAD, FL, USA",25.4687224,-80.4775569
"FORT MEYERS, FL, USA",26.640628,-81.8723084
"NAPLES, FL, USA",26.1420358,-81.7948103
"ST. LOUIS, MO, USA",38.6270025,-90.1994042
"JOHNSON COUNTY, MO, USA",38.6744747,-93.8248241
"OZARK, MO, USA",37.0208865,-93.2060163
"NEWARK, NJ, USA",40.735657,-74.1723667
"GLEN RIDGE, NJ, USA",40.805378,-74.2037566
"LAKE COMO, NJ, USA",40.1707443,-74.0274216
"SOUTH JERSEY, NJ, USA",39.366608,-74.439445
"LEONIA, NJ, USA",40.8614887,-73.9881942
"RUTHERFORD, NJ, USA",40.826489,-74.1068091
"NEW BRUNSWICK, NJ, USA",40.4862157,-74.4518188
"PRINCETON, NJ, USA",40.3572976,-74.6672226
"LAS VEGAS, NV, USA",36.1699412,-115.1398296
"LAS VEGAS, NV, USA",36.1699412,-115.1398296
"RENO, NV, USA",39.5296329,-119.8138027
"CHARLESTON, SC, USA",32.7764749,-79.9310512
"GREER, SC, USA",34.9387279,-82.2270568
"YORK, SC, USA",34.9943021,-81.2420175
"GEORGETOWN, SC, USA",33.376834,-79.2944964
"COLUMBIA, SC, USA",34.0007104,-81.0348144
"REDMOND, WA, USA",47.6739881,-122.121512
"CAMAS, WA, USA",45.5874666,-122.4045037
"POWELL, WY, USA",44.7538408,-108.7573525
"COLUMBUS, OH, USA",39.9611755,-82.9987942
"CLEVELAND, OH, USA",41.49932,-81.6943605
"MT GILEAD, OH, USA",40.5492265,-82.8274014
"NORFOLK, VA, USA",36.8507689,-76.2858726
"MANASSAS, VA, USA",38.7509488,-77.4752667
"CHARLOTTESVILLE, VA, USA",38.0293059,-78.4766781
"FARMVILLE, VA, USA",37.3020965,-78.3919401
"RICHMOND, VA, USA",37.5407246,-77.4360481
"WILLIAMSBURG, VA, USA",37.2707022,-76.7074571
"VIRGINA BEACH, VA, USA",36.8529263,-75.977985
"FAIRFAX, VA, USA",38.8462236,-77.3063733
"BLACKSBURG, VA, USA",37.2295733,-80.4139393
"HONOLULU, HI, USA",21.3069444,-157.8583333
"MAUI, HI, USA",20.7983626,-156.3319253
"ADRIAN, MI, USA",41.8975471,-84.0371659
"KALAMAZOO, MI, USA",42.2917069,-85.5872286
"DETROIT, MI, USA",42.331427,-83.0457538
"GRAND RAPIDS, MI, USA",42.9633599,-85.6680863
"BATTLE CREEK, MI, USA",42.3211522,-85.1797142
"GREENVILLE, MI, USA",43.1775314,-85.2527987
"WATERFORD, MI, USA",42.6907443,-83.4066132
"SOUTHGATE, MI, USA",42.2139284,-83.1938147
"YPSILANTI, MI, USA",42.2411499,-83.6129939
"ANN ARBOR, MI, USA",42.2808256,-83.7430378
"LANSING, MI, USA",42.732535,-84.5555347
"WOODSTOCK, VA, USA",38.8817784,-78.5058429
"STAUNTON, VA, USA",38.149576,-79.0716958
"OLYMPIA, WA, USA",47.0378741,-122.9006951
"SPOKANE, WA, USA",47.6587802,-117.4260465
"PULLMAN, WA, USA",46.7297771,-117.1817377
"WALLA WALLA, WA, USA",46.0645809,-118.3430208
"PASCO, WA, USA",46.2305049,-119.0922316
"YAKIMA, WA, USA",46.6020711,-120.5058987
"SEATTLE, WA, USA",47.6062095,-122.3320708
"WEST SEATTLE, WA, USA",47.5666668,-122.3867537
"EVERETT, WA, USA",47.9789848,-122.2020795
"SEATTLE/TACOMA, WA, USA",47.2401819,-122.411827
"TACOMA, WA, USA",47.2528768,-122.4442906
"HOQUIAM, WA, USA",46.977043,-123.8839028
"LEAVENWORTH, WA, USA",47.5962326,-120.6614765
"ELLENSBURG, WA, USA",46.9965144,-120.5478474
"HOBOKEN, NJ, USA",40.7439905,-74.0323626
"ELIZABETH, NJ, USA",40.6639916,-74.2107006
"JERSEY CITY, NJ, USA",40.7177545,-74.0431435
"GLENWOOD SPRINGS, CO, USA",39.5505376,-107.3247762
"COLORADO SPRINGS, CO, USA",38.8338816,-104.8213634
"FREMONT, CA, USA",38.5306514,-105.5005483
"LAFAYETTE, CO, USA",39.9935959,-105.0897058
"AURORA, CO, USA",39.7294319,-104.8319195
"CECIL COUNTY, MD, USA",39.5739403,-75.946324
"BALTIMORE, MD, USA",39.2903848,-76.6121893
"BALTIMORE CITY HALL, MD, USA",39.2908342,-76.6106487
"BALTIMORE, MD, USA",39.2903848,-76.6121893
"FREDERICK, MD, USA",39.4142688,-77.4105409
"WASHINGTON, DC, USA",38.9071923,-77.0368707
"ESSEX JUNCTION, VT, USA",44.4905433,-73.1112207
"BATTLEBORO, VT, USA",42.8509152,-72.5578678
"RICHMOND, VT, USA",44.4053135,-72.9924128
"BURLINGTON, VT, USA",44.4758825,-73.212072
"BENNINGTON, VT, USA",42.8781345,-73.1967741
"PUTNEY, VT, USA",42.975268,-72.5217237
"MANHATTAN, KS, USA",39.1836082,-96.5716694
"WICHITA, KS, USA",37.6871761,-97.330053
"PITTSBURG, KS, USA",37.410884,-94.70496
"ABERDEEN, SD, USA",45.4646985,-98.4864829
"PITTSFIELD, MA, USA",42.4500845,-73.2453824
"HUDSON, MA, USA",42.391736,-71.566139
"FRAMINGHAM, MA, USA",42.279286,-71.4161565
"CAMBRIDGE, MA, USA",42.3736158,-71.1097335
"HYANNIS, MA, USA",41.6524911,-70.2881124
"PROVINCETOWN, MA, USA",42.0584412,-70.1786425
"EDGARTOWN, MA, USA",41.3890052,-70.5133599
"BEVERLY, MA, USA",42.5584283,-70.880049
"SALEM, MA, USA",42.51954,-70.8967155
"BOSTON, MA, USA",42.3600825,-71.0588801
"MORGANTOWN, WV, USA",39.629526,-79.9558968
"JUNEAU, AK, USA",58.3019444,-134.4197221
"PALMER, AK, USA",61.5997222,-149.1127777
"VIROQUA, WI, USA",43.5569174,-90.8887413
"LA CROSSE, WI, USA",43.8137751,-91.2519017
"WAUWATOSA, WI, USA",43.0494572,-88.0075875
"FORT ATKINSON, WI, USA",42.9288944,-88.8370509
"HAYWOOD, WI, USA",46.0130065,-91.4846208
"MINOQUA, WI, USA",45.8710837,-89.7092705
"MADISON, WI, USA",43.0730517,-89.4012302
"APPLETON, WI, USA",44.2619309,-88.4153847
"DURHAM, NC, USA",35.9940329,-78.898619
"PITTSBORO, NC, USA",35.7201463,-79.1772371
"ASHEVILLE, NC, USA",35.5950581,-82.5514869
"ASHEVILLE, NC, USA",35.5950581,-82.5514869
"BLACK MOUNTAIN, NC, USA",35.6178951,-82.3212302
"HICKORY, NC, USA",35.7344538,-81.3444573
"RALEIGH, NC, USA",35.7795897,-78.6381787
"CARRBORO, NC, USA",35.9101438,-79.0752895
"BOONE, NC, USA",36.216795,-81.6745517
"GREENSBORO, NC, USA",36.0726354,-79.7919754
"HENDERSONVILLE, NC, USA",35.3187279,-82.4609528
"CHARLOTTE, NC, USA",35.2270869,-80.8431267
"NORTH CONWAY, NH, USA",44.0536805,-71.1284041
"DOVER, NH, USA",43.1978624,-70.8736698
"PORTSMOUTH, NH, USA",43.0717552,-70.7625532
"PETERBOROUGH, NH, USA",42.8706048,-71.9516746
"HANOVER, NH, USA",43.7022451,-72.2895526
"STILLWATER, OK, USA",36.1156071,-97.0583681
"NORMAN, OK, USA",35.2225668,-97.4394777
"FORT SILL, OK, USA",34.5938359,-98.4184224
"WILMINGTON, DE, USA",39.744655,-75.5483909
"DOYLESTOWN, PA, USA",40.3101063,-75.1298939
"SELLERSVILLE, PA, USA",40.3539926,-75.3048982
"PITTSBURGH, PA, USA",40.4406248,-79.9958864
"BEAVER, PA, USA",40.6953437,-80.3047846
"WESTMORELAND, PA, USA",40.2353963,-79.4703885
"GREENSBURG, PA, USA",40.3014581,-79.5389289
"BERKS COUNTY, PA, USA",40.3451566,-75.9927652
"PHILADELPHIA, PA, USA",39.9525839,-75.1652215
"PHILADELPHIA, PA, USA",39.9525839,-75.1652215
"YORK, PA, USA",39.9625984,-76.727745
"MEDIA, PA, USA",39.9167783,-75.387693
"HOLLIDAYSBURG, PA, USA",40.4272949,-78.3889024
"LANCASTER, PA, USA",40.0378755,-76.3055144
"LEESPORT, PA, USA",40.4470377,-75.9663221
"LEWISBURG, PA, USA",40.9645293,-76.8844101
"TIOGA, PA, USA",41.9086848,-77.1330265
"STATE COLLEGE, PA, USA",40.7933949,-77.8600012
"DAYTONA, FL, USA",29.2108147,-81.0228331
"TAMPA, FL, USA",27.950575,-82.4571776
"JACKSONVILLE, FL, USA",30.3321838,-81.655651
"JACKSONVILLE, FL, USA",30.3321838,-81.655651
"SARASOTA, FL, USA",27.3364347,-82.5306527
"LAKELAND, FL, USA",28.0394654,-81.9498042
"CAPE CANAVERAL, FL, USA",28.3922182,-80.6077132
"LAND O’LAKES, FL, USA",28.216795,-82.45784
"TALLAHASSEE, FL, USA",30.4382559,-84.2807329
"GAINESVILLE, FL, USA",29.6516344,-82.3248262
"FERNANDINA BEACH, FL, USA",30.6696818,-81.4625919
"ST. AUGUSTINE, FL, USA",29.9012437,-81.3124341
"FLAGSTAFF, AZ, USA",35.1982836,-111.651302
"SHOW LOW, AZ, USA",34.2542084,-110.0298327
"SEDONA, AZ, USA",34.8697395,-111.7609896
"TUCSON, AZ, USA",32.2226066,-110.9747108
"SAN LUIS, AZ, USA",32.4869996,-114.7821796
"KINGMAN, AZ, USA",35.189443,-114.0530065
"FLORENCE, AZ, USA",33.0314508,-111.3873431
"PHOENIX, AZ, USA",33.4483771,-112.0740373
"NORTH PHOENIX, AZ, USA",33.4550714,-112.2009619
"CORPUS CHRISTI, TX, USA",27.8005828,-97.396381
"BEAUMONT, TX, USA",30.080174,-94.1265562
"EL PASO, TX, USA",31.7618778,-106.4850217
"BROWNSVILLE, TX, USA",25.9017472,-97.4974838
"DALLAS, TX, USA",32.7766642,-96.7969879
"HOUSTON, TX, USA",29.7604267,-95.3698028
"HOUSTON, TX, USA",29.7604267,-95.3698028
"HOUSTON, TX, USA",29.7604267,-95.3698028
"HUTTO, TX, USA",30.5426995,-97.5466702
"GEORGETOWN, TX, USA",30.6332618,-97.6779842
"AUSTIN, TX, USA",30.267153,-97.7430608
"MOUNT VERNON, TX, USA",33.1887271,-95.2213321
"SAN ANTONIO, TX, USA",29.4241219,-98.4936282
"PROVIDENCE, RI, USA",41.8239891,-71.4128343
"ESTANCIA, NM, USA",34.7583934,-106.0558506
"TAOS, NM, USA",36.4072485,-105.5730665
"LOGAN, UT, USA",41.7369803,-111.8338359
"SALT LAKE CITY, UT, USA",40.7607793,-111.8910474
"ST. GEORGE, UT, USA",37.0965278,-113.5684164
"MILFORD, CT, USA",41.2306979,-73.064036
"REDDING, CT, USA",41.3045399,-73.392898
"FAIRFIELD, CT, USA",41.1408363,-73.2612615
"WESTPORT, CT, USA",41.1414717,-73.3579049
"BRIDGEPORT, CT, USA",41.1792258,-73.1894384
"GREENWICH, CT, USA",41.0262417,-73.6281964
"BETHEL, CT, USA",41.3712283,-73.4139621
"CHESTER, CT, USA",41.4022081,-72.4824991
"BOZEMAN, MT, USA",45.6769979,-111.0429339
"HELENA, MT, USA",46.5891452,-112.0391057
"SAG HARBOR, NY, USA",40.9978773,-72.2925819
"BATAVIA, NY, USA",42.9981156,-78.1875167
"ROCKLAND COUNTY, NY, USA",41.1489458,-73.9830029
"CHAPPAQUA, NY, USA",41.1595399,-73.764855
"NANUET, NY, USA",41.0887073,-74.013473
"SYRACUSE, NY, USA",43.0481221,-76.1474244
"ITHACA, NY, USA",42.4439614,-76.5018807
"JAMESTOWN, NY, USA",42.0970023,-79.2353259
"GOSHEN, NY, USA",41.4020382,-74.3243191
"ALBANY, NY, USA",42.6525793,-73.7562317
"ALBANY, NY, USA",42.6525793,-73.7562317
"ROCHESTER, NY, USA",43.1565779,-77.6088465
"GLEN FALLS, NY, USA",43.3095164,-73.6440058
"WANAKENA, NY, USA",44.1339512,-74.9210219
"SARANAC LAKE, NY, USA",44.329496,-74.1312662
"SARASOTA, NY, USA",43.0448483,-73.6300729
"NEW YORK, NY, USA",40.7127753,-74.0059728
"GARDEN CITY, NY, USA",40.7267682,-73.6342954
"GARDEN CITY, NJ, USA",40.7267682,-73.6342954
"BUFFALO, NY, USA",42.8864468,-78.8783689
"BINGHAMTON, NY, USA",42.0986867,-75.9179738
"CALLICOON, NY, USA",41.7673105,-75.0562785
"DELHI, NY, USA",42.2781401,-74.9159946
"WOODSTOCK, NY, USA",42.0409247,-74.1181971
